Event,White,Black,Opening,WhiteElo,BlackElo
Rated Classical game,edumenoyo,platito_de_lefa,Owen Defense,1770,1625
Rated Classical game,a7md2010,dreypat,Hungarian Opening: Indian Defense,1704,1764
Rated Classical game,raking41,mariofil,Italian Game,1695,1648
Rated Classical game,JOHN14-6,naikus,Horwitz Defense,1725,1800
Rated Classical game,guevara,Sacchina,French Defense: Steinitz Attack,1620,1675
Rated Classical game,PaMaViGi,pepi_1800,"Scotch Game: Classical Variation, Intermezzo Variation",1957,1963
Rated Classical game,PiqueFain,brunoctba32,Philidor Defense #3,1683,1651
Rated Classical game,chuecheng,el_sheikh,Queen's Pawn Game #2,1544,1605
Rated Classical game,Sahinsah,aerdna87,Center Game: Hall Variation,1639,1634
Rated Classical game,yonyo30,Biterolf,Budapest Defense: Adler Variation,1829,1771
Rated Classical game,mynlan,caporipens,King's Knight Opening,1556,1640
Rated Classical game,Shankh,moe1337,Ruy Lopez: Spanish Countergambit,1549,1067
Rated Classical game,diskborste,filobertito,Sicilian Defense: Loewenthal Variation,1980,1837
Rated Classical game,zoranastanisic,valerioneto,Hungarian Opening,1691,1705
Rated Classical game,madri1enians,Muthos,King's Gambit Accepted: Modern Defense #2,1641,1700
Rated Classical game,Dexter_Ni,TenAndOnly10,Slav Defense: Exchange Variation,1890,1826
Rated Classical game,Newton_10,nader10,Queen's Pawn Game: Chigorin Variation,1328,1284
Rated Classical game,Gambit47,Spiedo,"Ruy Lopez: Morphy Defense, Arkhangelsk Variation",1858,1728
Rated Classical game,mrzz,chatochess,Reti Opening,1464,1551
Rated Classical game,agregk4532,hervetlse,Philidor Defense #3,1330,1682
Rated Classical game,EugSnow,smallman,Owen Defense,1919,1875
Rated Classical game,unknownsoldier,Brunomig,Ruy Lopez,1617,1634
Rated Classical game,K-Bills,partor,Scotch Game,1390,1466
Rated Classical game,eucarioparra,TombezLaChemise,Van't Kruijs Opening,1590,1277
Rated Classical game,mmmcolak35,yanaaa,Scotch Game: Schmidt Variation,1735,1685
Rated Classical game,kochergin72,resigning-is-manly,Philidor Defense #3,1817,1936
Rated Classical game,Plerat2,SantiS1995,Ruy Lopez: Berlin Defense #2,1599,1423
Rated Classical game,TALisman61,na_than_than,English Opening: Agincourt Defense,1534,1542
Rated Classical game,Zebre86,renuszki,Van't Kruijs Opening,1137,1204
Rated Classical game,trump8,Lonato,English Opening: Anglo-Scandinavian Defense,1791,1711
Rated Classical game,huitznahua,WSchiefele,Sicilian Defense: Old Sicilian,1502,1634
Rated Classical game,Aleksandr-27,GoVikings913,"Sicilian Defense: French Variation, Normal",2033,1398
Rated Classical game,mollerboller,sergeiroustamof,French Defense: Queen's Knight,1292,1500
Rated Classical game,tehr4n,Mysterioustoad,"Italian Game: Giuoco Pianissimo, Normal",1823,1782
Rated Classical game,poterabb,aberr,Philidor Defense #2,1899,1797
Rated Classical game,Toroid,srpato,Caro-Kann Defense,1604,1390
Rated Classical game,BlackSpin,kotygoroshko,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",1698,1841
Rated Classical game,Emrac13,JonStevens,Three Knights Opening,1417,1497
Rated Classical game,SansAvoirVecu,Lazar65,"French Defense: Exchange Variation, Monte Carlo Variation",1921,1926
Rated Classical game,leukolenos,catapani,Bishop's Opening: Berlin Defense,1421,1612
Rated Classical game,bopsi80,Crot,Van't Kruijs Opening,1414,1389
Rated Classical game,tablue,Radikal1312,Scandinavian Defense: Gubinsky-Melts Defense,1544,1441
Rated Classical game,v1tek,KKKantemir,Italian Game,1441,1667
Rated Classical game,zoke,Fornazzi,Sicilian Defense,1687,1680
Rated Classical game,monaco712,jjbbpp22,Sicilian Defense,1632,1900
Rated Classical game,coffeblanca,KingsGambiter,Ruy Lopez: Bird Variation,2105,1974
Rated Classical game,Tbonethedestroyer,khelifi,Four Knights Game: Spanish Variation,1930,1949
Rated Classical game,Saschlars,M89A,Philidor Defense: Lopez Countergambit,1595,1277
Rated Classical game,muddel,thiagorangel1985,Old Benoni Defense #2,1736,1384
